report_id,scenario_id,scenario_time,source,channel,raw_text,ground_truth_json
RPT-001,WF-001,10:02,SCOUT_4,SATELLITE_TEXT,Fire jumped the ridge. Approaching Sector 4. Need water drop and evacuation transport immediately. Visibility zero.,"{""incident_type"": ""WILDFIRE"", ""severity"": ""CRITICAL"", ""location"": ""SECTOR_4"", ""requests"": [[""OP-WATER-001"", ""REQUESTED""], [""OP-EVAC-001"", ""REQUESTED""]]}"
RPT-002,WF-001,10:05,TRANSPORT_COMMAND,RADIO_TRANSCRIPT,Sector Four evacuation transport request acknowledged. Working the assignment now.,"{""operation_id"": ""OP-EVAC-001"", ""state"": ""ACKNOWLEDGED""}"
RPT-003,WF-001,10:07,TRANSPORT_COMMAND,RADIO_TRANSCRIPT,Bus seven assigned to the Sector Four evacuation.,"{""entity_id"": ""BUS_7"", ""operation_id"": ""OP-EVAC-001"", ""state"": ""ASSIGNED""}"
RPT-004,WF-001,10:09,TRANSPORT_COMMAND,RADIO_TRANSCRIPT,"Bus seven rolling out from staging now, headed for Sector Four.","{""entity_id"": ""BUS_7"", ""operation_id"": ""OP-EVAC-001"", ""state"": ""DISPATCHED""}"
RPT-005,WF-001,10:11,AIR_OPERATIONS,RADIO_TRANSCRIPT,Tanker two assigned to the Sector Four water drop.,"{""entity_id"": ""TANKER_2"", ""operation_id"": ""OP-WATER-001"", ""state"": ""ASSIGNED""}"
RPT-006,WF-001,10:13,AIR_OPERATIONS,RADIO_TRANSCRIPT,Tanker two dispatched. En route to Sector Four.,"{""entity_id"": ""TANKER_2"", ""operation_id"": ""OP-WATER-001"", ""state"": ""DISPATCHED""}"
RPT-007,WF-001,10:15,ROAD_UNIT_8,RADIO_TRANSCRIPT,North access road is clear. Smoke present but still passable.,"{""claim"": {""subject"": ""NORTH_ACCESS_ROAD"", ""attribute"": ""ACCESS"", ""value"": ""CLEAR""}}"
RPT-008,WF-001,10:17,SCOUT_4,SATELLITE_TEXT,Smoke getting worse around four. Can't see the ridge line anymore.,"{""claim"": {""subject"": ""SECTOR_4"", ""attribute"": ""VISIBILITY"", ""value"": ""SEVERELY_REDUCED""}}"
RPT-009,WF-001,10:19,FIRE_COMMAND,RADIO_TRANSCRIPT,Fire is pushing east toward Sector Five.,"{""claim"": {""subject"": ""FIRE"", ""attribute"": ""MOVEMENT"", ""value"": ""EAST_TOWARD_SECTOR_5""}}"
RPT-010,WF-001,10:21,SHELTER_ALPHA,SMS,Sector Four residents arriving now. Receiving evacuees at Alpha.,"{""entity_id"": ""SECTOR_4_EVACUEES"", ""state"": ""ARRIVING_AT_SHELTER"", ""transport_source"": null}"
RPT-011,WF-001,10:23,LOGISTICS,RADIO_TRANSCRIPT,Shelter Alpha requesting backup power for medical refrigeration.,"{""operation_id"": ""OP-POWER-001"", ""state"": ""REQUESTED""}"
RPT-012,WF-001,10:25,SCOUT_4,SATELLITE_TEXT,Visibility below operational minimum in Sector Four. Aircraft access looks bad.,"{""claim"": {""subject"": ""AIR_ACCESS"", ""attribute"": ""CONDITION"", ""value"": ""DEGRADED""}}"
RPT-013,WF-001,10:27,LOGISTICS,RADIO_TRANSCRIPT,Generator three assigned to Shelter Alpha.,"{""entity_id"": ""GENERATOR_3"", ""operation_id"": ""OP-POWER-001"", ""state"": ""ASSIGNED""}"
RPT-014,WF-001,10:29,SHELTER_ALPHA,SMS,More evacuees from Sector Four coming in by private vehicles. No transport manifest with them.,"{""entity_id"": ""SECTOR_4_EVACUEES"", ""state"": ""ARRIVING_AT_SHELTER"", ""transport_source"": ""PRIVATE_VEHICLES""}"
RPT-015,WF-001,10:31,LOGISTICS,RADIO_TRANSCRIPT,Generator three is on the way to Alpha.,"{""entity_id"": ""GENERATOR_3"", ""operation_id"": ""OP-POWER-001"", ""state"": ""DISPATCHED""}"
RPT-016,WF-001,10:34,FIRE_COMMAND,RADIO_TRANSCRIPT,Sector Four fire continuing east. Crews are repositioning.,"{""claim"": {""subject"": ""FIRE"", ""attribute"": ""MOVEMENT"", ""value"": ""EAST""}}"
RPT-017,WF-001,10:36,TRANSPORT_COMMAND,RADIO_TRANSCRIPT,Bus seven should be at Alpha by now.,"{""state"": null, ""assumption"": {""entity_id"": ""BUS_7"", ""assumed_state"": ""ARRIVED"", ""verified"": false}}"
RPT-018,WF-001,10:39,AIR_OBSERVER,RADIO_TRANSCRIPT,No visual on tanker two from the north observation point.,"{""claim"": {""subject"": ""TANKER_2"", ""attribute"": ""VISUAL_CONTACT"", ""value"": ""NOT_OBSERVED""}}"
RPT-019,WF-001,10:41,SHELTER_ALPHA,SMS,Medical refrigeration temperature rising. Backup power still needed.,"{""related_operation"": ""OP-POWER-001"", ""need_still_active"": true}"
RPT-020,WF-001,10:44,SCOUT_4,SATELLITE_TEXT,Water drop urgently required at Sector Four. Fire still advancing on the east side.,"{""related_operation"": ""OP-WATER-001"", ""need_still_active"": true}"
RPT-021,WF-001,10:46,SHELTER_ALPHA,RADIO_TRANSCRIPT,Generator three just pulled into Alpha. Crew is unloading now.,"{""entity_id"": ""GENERATOR_3"", ""operation_id"": ""OP-POWER-001"", ""state"": ""ARRIVED""}"
RPT-022,WF-001,10:48,LOGISTICS,RADIO_TRANSCRIPT,Generator three connected. Medical refrigeration has backup power.,"{""entity_id"": ""GENERATOR_3"", ""operation_id"": ""OP-POWER-001"", ""state"": ""COMPLETED""}"
RPT-023,WF-001,10:50,SHELTER_ALPHA,RADIO_TRANSCRIPT,Confirming backup power stable at Alpha. Generator operation verified.,"{""entity_id"": ""GENERATOR_3"", ""operation_id"": ""OP-POWER-001"", ""state"": ""VERIFIED""}"
RPT-024,WF-001,10:52,TRANSPORT_COMMAND,RADIO_TRANSCRIPT,"Those evacuees made it to Alpha, so bus seven probably got through.","{""state"": null, ""assumption"": {""entity_id"": ""BUS_7"", ""assumed_state"": ""ARRIVED"", ""verified"": false}, ""unresolved_link"": true}"
RPT-025,WF-001,10:54,COMMAND,RADIO_TRANSCRIPT,Request status check on tanker two. Water drop remains unverified.,"{""related_operation"": ""OP-WATER-001"", ""need_still_active"": true}"
RPT-026,WF-001,10:56,TANKER_2,RADIO_TRANSCRIPT,Tanker two holding south of Sector Four. Unable to enter due to zero visibility.,"{""entity_id"": ""TANKER_2"", ""operation_id"": ""OP-WATER-001"", ""state"": ""HOLDING"", ""blocker"": ""VISIBILITY""}"
RPT-027,WF-001,10:58,SHELTER_ALPHA,RADIO_TRANSCRIPT,Negative on bus seven. No bus seven at Alpha. Sector Four evacuees arrived in private vehicles.,"{""claim"": {""subject"": ""BUS_7"", ""attribute"": ""ARRIVAL_AT_SHELTER_ALPHA"", ""value"": ""NOT_OBSERVED""}, ""transport_source"": ""PRIVATE_VEHICLES""}"
RPT-028,WF-001,11:00,TRANSPORT_COMMAND,RADIO_TRANSCRIPT,Unable to raise bus seven. Last confirmed status was departing staging for Sector Four.,"{""claim"": {""subject"": ""BUS_7"", ""attribute"": ""COMMUNICATION"", ""value"": ""NO_CONTACT""}, ""last_confirmed_state"": ""DISPATCHED""}"
RPT-029,WF-001,11:02,AIR_OPERATIONS,RADIO_TRANSCRIPT,Water drop not completed. Tanker two remains holding until visibility improves.,"{""entity_id"": ""TANKER_2"", ""operation_id"": ""OP-WATER-001"", ""state"": ""HOLDING"", ""need_still_active"": true}"
RPT-030,WF-001,11:05,INCIDENT_COMMAND,RADIO_TRANSCRIPT,Sector Four evacuation transport remains unresolved. Start verification with transport command and Sector Four checkpoint.,"{""related_operation"": ""OP-EVAC-001"", ""need_still_active"": true, ""fulfillment"": ""UNRESOLVED""}"
